iter	RMSE
0	14.73263686
1	14.36329677
2	13.9876453
3	13.61616912
4	13.27173236
5	12.95642993
6	12.65264594
7	12.37447438
8	12.08611473
9	11.79422489
10	11.52027073
11	11.28156503
12	11.06343854
13	10.81983505
14	10.58236548
15	10.33787723
16	10.1197291
17	9.907552058
18	9.699525835
19	9.513760065
20	9.340989977
21	9.185079313
22	9.004765111
23	8.836388583
24	8.680393174
25	8.53260513
26	8.387301537
27	8.268504906
28	8.137132326
29	8.011226529
30	7.916676988
31	7.791720273
32	7.67439235
33	7.56424154
34	7.45368499
35	7.357371616
36	7.259726955
37	7.183816893
38	7.099059312
39	7.019404674
40	6.947149959
41	6.875737559
42	6.806838833
43	6.748863508
44	6.684043978
45	6.624644216
46	6.564071918
47	6.508487695
48	6.449794285
49	6.390986578
50	6.332627508
51	6.27929047
52	6.230569378
53	6.187822252
54	6.142537105
55	6.103867211
56	6.065706682
57	6.027777829
58	5.993930252
59	5.959614608
60	5.923334789
61	5.891887309
62	5.862408053
63	5.832418765
64	5.802606789
65	5.777368874
66	5.747319977
67	5.720411942
68	5.69808057
69	5.673127765
70	5.648577257
71	5.624821821
72	5.603908951
73	5.582026183
74	5.562967653
75	5.540328254
76	5.524388512
77	5.509544269
78	5.492674931
79	5.472405962
80	5.456619077
81	5.441727058
82	5.427326919
83	5.411368013
84	5.395949044
85	5.383461952
86	5.371196124
87	5.359805047
88	5.346674425
89	5.330126057
90	5.31878962
91	5.308055462
92	5.296002929
93	5.288582088
94	5.277312497
95	5.264588057
96	5.255584873
97	5.249291737
98	5.240297589
99	5.229215319
100	5.22018771
101	5.212465631
102	5.200036191
103	5.191922902
104	5.183673188
105	5.172798186
106	5.161905309
107	5.153511853
108	5.142339524
109	5.136550196
110	5.128889428
111	5.121117464
112	5.114737813
113	5.105544599
114	5.100334412
115	5.092265321
116	5.084809994
117	5.079692061
118	5.073003779
119	5.068446466
120	5.062879818
121	5.05673805
122	5.049879813
123	5.04404021
124	5.040766608
125	5.034711221
126	5.03146852
127	5.02399697
128	5.018735185
129	5.014076315
130	5.005410286
131	4.996219768
132	4.987437059
133	4.983098029
134	4.978428328
135	4.975566734
136	4.971299532
137	4.965595564
138	4.95918413
139	4.95502198
140	4.949527447
141	4.944030087
142	4.938422136
143	4.930585486
144	4.924032752
145	4.921522512
146	4.917460462
147	4.913434724
148	4.906377344
149	4.901117345
150	4.893425165
151	4.889816117
152	4.881216103
153	4.876658773
154	4.868810713
155	4.864017608
156	4.861098596
157	4.859201817
158	4.853195268
159	4.847609203
160	4.843180624
161	4.840656988
162	4.839788562
163	4.839000208
164	4.833339717
165	4.83233987
166	4.829109477
167	4.82331604
168	4.819645179
169	4.815994295
170	4.807657668
171	4.802813877
172	4.797076153
173	4.791600179
174	4.785536756
175	4.782510162
176	4.776774274
177	4.776196673
178	4.769073286
179	4.765730233
180	4.761221498
181	4.756600778
182	4.754024868
183	4.750171902
184	4.747123072
185	4.745022677
186	4.74186412
187	4.732240904
188	4.72897269
189	4.724223526
190	4.718608764
191	4.716788859
192	4.712921601
193	4.709492365
194	4.707860869
195	4.705899111
196	4.702585148
197	4.699360605
198	4.695791757
199	4.692458916
200	4.684486622
201	4.681262954
202	4.676565264
203	4.675482385
204	4.668726049
205	4.66671778
206	4.662087328
207	4.656573014
208	4.653453915
209	4.650650882
210	4.64569252
211	4.64285286
212	4.637971746
213	4.635401349
214	4.632730057
215	4.628001967
216	4.623949402
217	4.620814452
218	4.618839342
219	4.61508377
220	4.606955964
221	4.605992418
222	4.603149959
223	4.602012342
224	4.596579554
225	4.594265196
226	4.589820385
227	4.584638367
228	4.58040145
229	4.576194088
230	4.571614231
231	4.56700239
232	4.564870952
233	4.56305578
234	4.55956193
235	4.55586256
236	4.553112707
237	4.549101035
238	4.548208465
239	4.544057457
240	4.54193115
241	4.538595569
242	4.534176726
243	4.530782405
244	4.526252575
245	4.522415272
246	4.518220785
247	4.510097858
248	4.505343044
249	4.500366908
250	4.495574331
251	4.489945001
252	4.487186044
253	4.484784959
254	4.476954986
255	4.476348529
256	4.47213237
257	4.467549767
258	4.465007222
259	4.461699225
260	4.459840308
261	4.456319273
262	4.452951154
263	4.450727277
264	4.44752065
265	4.440939964
266	4.437513178
267	4.4324166
268	4.430581594
269	4.428855379
270	4.422082251
271	4.418729028
272	4.412663806
273	4.408952608
274	4.405686854
275	4.404760743
276	4.399693333
277	4.394068684
278	4.393169822
279	4.389990189
280	4.389231937
281	4.386155199
282	4.382079026
283	4.376581273
284	4.375518318
285	4.372759103
286	4.36936831
287	4.367577742
288	4.362809461
289	4.358887618
290	4.358415387
291	4.356382031
292	4.352544309
293	4.351378293
294	4.34603413
295	4.341845046
296	4.33699303
297	4.335391538
298	4.334529331
299	4.333016772
300	4.332291861
301	4.328669855
302	4.325593542
303	4.322919277
304	4.322142692
305	4.31667031
306	4.316320872
307	4.31454136
308	4.308119648
309	4.3030241
310	4.295937724
311	4.29515601
312	4.292375812
313	4.291062045
314	4.289017379
315	4.287233067
316	4.283809354
317	4.280561638
318	4.277775916
319	4.272357851
320	4.266131477
321	4.261243136
322	4.260031569
323	4.258605715
324	4.253677303
325	4.252849619
326	4.247746711
327	4.243415485
328	4.239509668
329	4.236892064
330	4.233538183
331	4.228478664
332	4.226636901
333	4.22347092
334	4.218866599
335	4.213431623
336	4.212950636
337	4.20899605
338	4.206298022
339	4.205034123
340	4.203947886
341	4.199718996
342	4.198397717
343	4.195984838
344	4.192947928
345	4.187574442
346	4.182302359
347	4.17765067
348	4.176546217
349	4.171967841
350	4.168211662
351	4.165341518
352	4.163046579
353	4.156369648
354	4.152618809
355	4.150472811
356	4.14704092
357	4.141331724
358	4.13733886
359	4.132740369
360	4.128757522
361	4.127783914
362	4.126959409
363	4.125704714
364	4.123646615
365	4.118982191
366	4.114507063
367	4.114087162
368	4.113107753
369	4.112537914
370	4.108279275
371	4.105850989
372	4.103163837
373	4.101658003
374	4.098569689
375	4.095143636
376	4.092380762
377	4.092056027
378	4.090332878
379	4.086655799
380	4.083089196
381	4.08010895
382	4.077165632
383	4.071207355
384	4.069186781
385	4.068561307
386	4.063919949
387	4.059782079
388	4.055358019
389	4.05352994
390	4.051835476
391	4.049620589
392	4.04587581
393	4.042445805
394	4.038022989
395	4.034427727
396	4.031562934
397	4.03099682
398	4.029466914
399	4.023804432
400	4.021270065
401	4.019579943
402	4.018744362
403	4.014738237
404	4.010067763
405	4.005736043
406	4.00483768
407	4.000238732
408	3.996633528
409	3.995447638
410	3.989036751
411	3.984959554
412	3.982225378
413	3.978235597
414	3.972818945
415	3.97176211
416	3.969816803
417	3.964549224
